"Symbol","Synonym Symbol","Scientific Name with Author","National Common Name","Family"
"ACANT7","","Acanthus L.","acanthus","Acanthaceae"
"ACMO8","","Acanthus mollis L.","bear's breech","Acanthaceae"
"CAAR7","","Carlowrightia arizonica A. Gray","Arizona wrightwort","Acanthaceae"
"CARLO","","Carlowrightia A. Gray","wrightwort","Acanthaceae"
"JUCA8","","Justicia californica (Benth.) D. Gibson","beloperone","Acanthaceae"
"JUCA8","BECA7","Beloperone californica Benth.","","Acanthaceae"
"JUSTI","","Justicia L.","water-willow","Acanthaceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACCA5","","Acer campestre L.","hedge maple","Aceraceae"
"ACCI","","Acer circinatum Pursh","vine maple","Aceraceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACGL","","Acer glabrum Torr.","Rocky Mountain maple","Aceraceae"
"ACGLD3","","Acer glabrum Torr. var. diffusum (Greene) Smiley","Rocky Mountain maple","Aceraceae"
"ACGLD3","ACDI","Acer diffusum Greene","","Aceraceae"
"ACGLD3","ACGLD","Acer glabrum Torr. ssp. diffusum (Greene) A.E. Murray","","Aceraceae"
"ACGLD4","","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple","Aceraceae"
"ACGLD4","ACDO","Acer douglasii Hook.","","Aceraceae"
"ACGLD4","ACGLD2","Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael","","Aceraceae"
"ACGLG","","Acer glabrum Torr. var. greenei Keller","Greene's maple","Aceraceae"
"ACGLT2","","Acer glabrum Torr. var. torreyi (Greene) Smiley","Torrey maple","Aceraceae"
"ACGLT2","ACGLT","Acer glabrum Torr. ssp. torreyi (Greene) A.E. Murray","","Aceraceae"
"ACGLT2","ACTO2","Acer torreyi Greene","","Aceraceae"
"ACMA3","","Acer macrophyllum Pursh","bigleaf maple","Aceraceae"
"ACNE2","","Acer negundo L.","boxelder","Aceraceae"
"ACNEC2","","Acer negundo L. var. californicum (Torr. & A. Gray) Sarg.","California boxelder","Aceraceae"
"ACNEC2","ACNEC","Acer negundo L. ssp. californicum (Torr. & A. Gray) Wesmael","","Aceraceae"
"ACNEC2","NECA6","Negundo californicum Torr. & A. Gray","","Aceraceae"
"ACNEI2","","Acer negundo L. var. interius (Britton) Sarg.","boxelder","Aceraceae"
"ACNEI2","ACIN3","Acer interius Britton","","Aceraceae"
"ACNEI2","ACNEI","Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve","","Aceraceae"
"ACNEI2","NEACI","Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve","","Aceraceae"
"ACNEI2","NEIN3","Negundo interius (Britton) Rydb.","","Aceraceae"
"ACSA2","","Acer saccharinum L.","silver maple","Aceraceae"
"ACSA2","ACDA2","Acer dasycarpum Ehrh.","","Aceraceae"
"ACSA2","ACSAL3","Acer saccharinum L. var. laciniatum Pax","","Aceraceae"
"ACSA2","ACSAW","Acer saccharinum L. var. wieri Rehder","","Aceraceae"
"ACSA2","ARSA9","Argentacer saccharinum (L.) Small","","Aceraceae"
"ACCA4","","Acorus calamus L.","calamus","Acoraceae"
"ACORU","","Acorus L.","sweetflag","Acoraceae"
"AGAM","","Agave americana L.","American century plant","Agavaceae"
"AGAMA","","Agave americana L. ssp. americana","American century plant","Agavaceae"
"AGAMA","AGAMM","Agave americana L. var. marginata Trel.","","Agavaceae"
"AGAMA","AGAMM2","Agave americana L. var. mediopicta Trel.","","Agavaceae"
"AGAMA","AGAMS","Agave americana L. var. striata Trel.","","Agavaceae"
"AGAME","","Agave americana L. ssp. americana var. expansa (Jacobi) Gentry","American century plant","Agavaceae"
